week,green,colour_break_1,colour_break_2,pink,cherry,blue,year,date
39,660,327,65,19,29,54,2018,2018-09-27
40,600,292,65,18,23,109,2018,2018-10-01
41,532,240,85,25,18,65,2018,2018-10-08
43,415,162,57,17,15,40,2018,2018-10-22
44,468,125,49,12,13,18,2018,2018-10-29
45,490,121,41,12,10,20,2018,2018-11-05
46,502,105,32,9,7,22,2018,2018-11-12
48,555,137,26,9,5,10,2018,2018-11-26
49,654,150,30,7,4,4,2018,2018-12-03
50,662,155,26,6,6,16,2018,2018-12-10
51,669,170,30,9,7,13,2018,2018-12-17
52,675,164,37,8,7,18,2018,2018-12-24
2,865,214,43,8,7,45,2019,2019-01-07
3,775,276,30,8,5,16,2019,2019-01-14
5,543,306,45,11,10,21,2019,2019-01-28
6,448,290,46,11,10,30,2019,2019-02-04
7,360,350,40,10,15,67,2019,2019-02-12
8,293,309,39,10,11,0,2019,2019-02-19